ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA
5850,Lovric,Sandi Lovric,C,10,Udinese,Slovenia;Austria
6481,Payero,Martin Payero,C,4,Cremonese,Argentina;Italia
6684,Ekkelenkamp,Jurgen Ekkelenkamp,C,10,Udinese,Olanda
5824,Pafundi,Simone Pafundi,C,1,Udinese,Italia
6653,Bravo,Iker Bravo,A,6,Udinese,Spagna
6213,Brenner,Brenner,A,3,Udinese,Brasile
2475,Sanchez,Alexis Sanchez,A,7,Udinese,Cile
2369,Thauvin,Florian Thauvin,A,16,Udinese,Francia
7161,Bayo V.,Vakoun Bayo,A,4,Udinese,Costa d''Avorio
5637,Davis K.,Keinan Davis,A,11,Udinese,Inghilterra
6635,Pizarro,Damian Pizarro,A,1,Udinese,Cile
4957,Montipò,Lorenzo Montipò,P,5,Verona,Italia
511,Perilli,Simone Perilli,P,1,Verona,Italia
6631,Ghilardi,Daniele Ghilardi,D,4,Roma,Italia
7011,Slotsager,Tobias Slotsager,D,2,Verona,Danimarca
6894,Unai Nunez,Unai Nunez,D,5,Verona,Spagna
6957,Valentini N.,Nicolas Valentini,D,4,Verona,Argentina;Italia
5994,Ebosse,Enzo Ebosse,D,4,Verona,Camerun;Francia
6992,Oyegoke,Daniel Oyegoke,D,2,Verona,Inghilterra;Nigeria
6480,Tchatchoua,Jackson Tchatchoua,D,8,Verona,Belgio;Camerun
6639,Frese,Martin Frese,D,3,Verona,Danimarca
5540,Niasse,Cheikh Niasse,C,3,Verona,Francia;Senegal
7028,Bernede,Antoine Bernede,C,4,Verona,Francia;Camerun
7177,Santiago,Yellu Santiago,C,2,Verona,Spagna
6458,Serdar,Suat Serdar,C,7,Verona,Germania;Turchia
2117,Kastanos,Grigoris Kastanos,C,4,Verona,Cipro
6618,Cissè A.,Alphadjo Cissè,C,1,Verona,Italia;Guinea
5688,Harroui,Abdou Harroui,C,7,Verona,Olanda;Marocco
6486,Suslov,Tomas Suslov,C,9,Verona,Slovacchia
7162,Giovane,Giovane,A,3,Verona,Brasile
6159,Sarr A.,Amin Sarr,A,8,Verona,Svezia;Senegal
6630,Mosquera,Daniel Mosquera,A,6,Verona,Colombia
6644,Rocha Livramento,Dailon Rocha Livramento,A,3,Verona,Capo Verde;Olanda
6125,Vasquez D.,Devis Vasquez,P,1,Roma,Colombia
5750,Ostigard,Ostigard Leo,D,5,Genoa,Norvegia
7183,Aboukhlal,Zakaria Aboukhlal,A,9,Torino,Marocco;Olanda
7185,Nunziante,Alessandro Nunziante,P,1,Udinese,Italia
1976,Mazzitelli,Luca Mazzitelli,C,5,Cagliari,Italia
6869,Ramon,Jacobo Ramon,D,5,Como,Spagna
158,Lezzerini,Luca Lezzerini,P,1,Fiorentina,Italia
7196,Denoon,Daniel Denoon,D,2,Pisa,Svizzera
7198,Piotrowski,Jakub Piotrowski,C,6,Udinese,Polonia
7199,Kilicsoy,Semih Kilicsoy,A,6,Cagliari,Turchia
5532,Bradaric,Bradaric Domagoj,D,4,Verona,Croazia
7202,Ndiaye,Abdoulaye Ndiaye,D,4,Parma,Senegal
6537,Goglichidze,Saba Goglichidze,D,4,Udinese,Georgia
7203,Jashari,Ardon Jashari,C,13,Milan,Svizzera;Macedonia del Nord
697,Cuadrado,Juan Cuadrado,D,7,Pisa,Colombia
5336,Nzola,M'Bala Nzola,A,12,Pisa,Francia;Angola
6672,Idzes,Jay Idzes,D,7,Sassuolo,Indonesia;Olanda
2839,Sottil,Riccardo Sottil,C,11,Lecce,Italia
6985,Candè,Fqli Candè,D,6,Sassuolo,Guinea Bissau;Portogallo
313,Morata,Alvaro Morata,A,18,Como,Spagna
7208,Miller L.,Lennon Miller,C,3,Udinese,Scozia
4236,Muric,Arijanet Muric,P,3,Sassuolo,Kosovo;Montenegro
7209,Sorensen O.,Oliver Sorensen,C,6,Parma,Danimarca
2211,Silvestri,Marco Silvestri,P,1,Cremonese,Italia
5324,Godfrey,Ben Godfrey,D,1,Atalanta,Inghilterra
2076,Rog,Marko Rog,C,1,Cagliari,Croazia
7211,Athekame,Zachary Athekame,D,6,Milan,Svizzera
7212,Heggem,Torbjorn Heggem,D,4,Bologna,Norvegia
7213,Frigan,Matija Frigan,A,7,Parma,Croazia
6677,Adzic,Vasilije Adzic,C,1,Juventus,Montenegro
6005,Ilkhan,Emirhan Ilkhan,C,1,Torino,Turchia
7220,Belghali,Rafik Belghali,D,4,Verona,Algeria;Belgio
7222,Cham,Fallou Cham,D,1,Verona,Gambia
5427,Gutierrez,Miguel Gutierrez,D,8,Napoli,Spagna
2670,Bailey,Leon Bailey,C,16,Roma,Giamaica
7018,Nelsson,Victor Nelsson,D,5,Verona,Danimarca
7235,Troilo,Mariano Troilo,D,6,Parma,Argentina
7236,Toniolo,Giacomo Toniolo,P,1,Verona,Italia
7240,Siebert,Jamil Siebert,D,5,Lecce,Germania
6274,Diouf,Andy Diouf,C,7,Inter,Francia;Senegal
5610,Vranckx,Aster Vranckx,C,4,Sassuolo,Belgio;Repubblica Democratica Del Congo
7246,Sala A.,Alex Sala,C,3,Lecce,Spagna
6844,Rowe,Jonathan Rowe,C,14,Bologna,Inghilterra
2528,Matic,Matic Nemanja,C,4,Sassuolo,Serbia;Slovacchia
7249,Buksa,Adam Buksa,A,9,Udinese,Polonia
7253,Bella-Kotchap,Armel Bella-Kotchap,D,6,Verona,Germania;Camerun
7252,Stulic,Nikola Stulic,A,13,Lecce,Serbia;Croazia
7255,Britschgi,Sascha Britschgi,D,1,Parma,Svizzera
6552,Orban G.,Gift Orban,A,15,Verona,Nigeria
6218,Oristanio,Gaetano Oristanio,C,12,Parma,Italia
5561,Stengs,Calvin Stengs,C,11,Pisa,Olanda;Suriname
